Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2019_31-12-2020,,,,,,,,,,,,,,,,,,,,,,,
Comunidades autónomas,Principado de Asturias,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020
"Demanda,""955695,747"",""800857,082"",""819770,82"",""775652,082"",""775558,988"",""734051,76"",""771577,431"",""751690,808"",""733274,883"",""741662,952"",""762830,407"",""770472,528"",""818569,533"",""753713,456"",""793322,507"",""658828,308"",""673587,975"",""657386,079"",""693685,822"",""670393,413"",""686850,454"",""760044,453"",""746484,147"",""812041,784"""
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2019 - 31/12/2020,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,01/07/2024 - 22:42:43,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
